"id","country","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"1","Australia","8.8","8.7","7.9","8.2","8.2","8.1","7.3","7.3","7.2","6.8","7.2","7.1","7.1","6.8","7.1","6.6","6.3","6.3","6.2","6.1","6.3","5.7","6.2","6.1","6.2","6.4","6.5","6.1","6.1","6","6.2","6.2","6","6","5.5","5.3","5.6"
"2","Austria","10.9","10.5","10.8","12.6","13.6","11.2","13.4","13.5","14.4","15.6","17.8","19","18.9","18.7","19.6","20.8","22.4","26.3","24.3","21","20.6","22.5","23.2","22.6","22.8","21.4","21.9","21.6","23.9","24","23.3","23.3","20.9","22.2","22.4","23.9","25.6"
"3","Belgium",NULL,NULL,NULL,"0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.5","0.5","0.5","0.9","1.6","1.6","1.7","1.5","1.5","1.7","1.6","1.6","1.7","1.8","1.8","2.1","2.1","2.4","2.6","2.8","3.4","3.8"
"4","Canada","15.3","15.2","15.4","16","14.2","14.4","14.4","15","14.8","15.2","16.1","16.3","17.2","17.3","17.9","18.1","17.8","16.7","15.5","16.2","16.7","16.7","16.4","16.8","16.8","17.2","16.9","16.5","16.9","16.9","16","16.9","15.7","15.6","16.1","15.8","16.2"
"5","Czech Republic","0.2","0.2","0.2","0.4","0.4","0.3","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.2","0.3","0.3","0.4","0.4","0.3","0.2","0.2","1.5","1.7","1.9","1.5","1.5","1.7","1.7","2.4","2","2.1","2.5","3.7","4.1","4.3","4.6","5"
"6","Denmark","1.8","1.8","1.8","2","2.1","2.1","2.1","2.2","2.6","3.3","4.4","4.7","5.2","5.3","4.9","5.2","5.9","6.2","6.7","6.9","6.8","7.5","7.7","7.4","7.9","7.5","8.7","9.1","10.1","11.4","12","12.9","13.9","15.7","17.1","16.3","18.1"
"7","Finland","27.3","25","23","24.1","21.4","18.9","19.3","18.4","18.4","17.7","20.1","19.5","21","21.5","18.5","17.9","17.6","18.4","18.8","19.3","18.5","19.9","19.9","19.1","21.2","20.3","21.5","22.8","22.8","24.8","23.3","22.9","21.9","23.6","23.7","23.3","23.5"
"8","France","8.6","8.2","7.7","7.9","8.7","7.4","9","8.2","7.9","7.7","7.8","8","8.3","7.9","8","7.8","8.2","8.1","6.8","7.3","7.9","8.2","7.8","8.2","7.8","7.4","7.3","7.1","7.5","7.2","7.1","6.5","6.6","6.6","6.4","6.7","7.2"
"9","Germany","1.2","1.2","1.1","1.5","1.5","1.4","1.5","1.5","1.4","1.7","1.8","2","1.9","2","1.9","1.6","1.6","1.7","1.6","1.8","1.8","1.9","2","2.1","2.2","2.3","2.6","2.8","2.8","3.2","3.5","3.8","4.3","4.9","5.2","6.1","8.6"
"10","Greece","7.8","6.7","5.4","5.8","5.3","4.8","4.5","4.9","5","4.9","5.1","5","4.1","4.3","3.9","4.4","4.1","3.7","3.2","5.1","5.7","5.4","5.5","5.6","5.8","6","5.6","5.4","5.8","5.4","4.9","5","5.4","5.4","5.5","5.9","5.4"
"11","Hungary","2.9","2.9","3.1","2.9","2.1","2.2","2","1.7","2","1.9","2.1","2","2","2.4","2.1","1.8","1.8","1.5","1.7","2.7","3","3.3","3.3","3.4","3.4","3.4","3.3","3.4","3.5","3.5","3.6","3.6","3.5","3.7","4.5","4.8","5.4"
"12","Iceland","46.7","50","48.2","48.2","52.3","54.5","54.8","55.5","57.8","60.7","66.3","70.9","71.5","69.4","70.6","68.6","68.4","69.5","69.8","67","70.2","68.5","68.3","67.9","69.3","67.4","69.1","70.2","74","74.5","75.6","75","75.2","74.5","75.6","78.4","80.8"
"13","Ireland","0.6","0.9","0.9","1","0.6","0.7","0.8","0.8","0.8","0.8","0.8","0.9","0.9","0.7","0.8","0.9","0.7","0.8","0.6","1.7","1.6","1.6","1.6","1.6","1.4","1.5","1.5","1.8","1.7","1.7","1.6","1.8","1.6","2","2.5","2.9","3.1"
"14","Italy","5.6","5.4","4.7","5.4","5.8","5.2","6.1","5.4","5.3","5.4","5.5","5.5","5.5","5.6","5.2","5.3","5.1","5.2","4.7","4.5","5.1","5.4","5.4","5.7","5","5.4","5.5","5.6","6","6.1","6.2","6","6.3","7.1","6.7","7.3","7.2"
"15","Japan","2.7","2.6","1.9","2.2","2.4","2.3","2","2","2.2","2.4","2.5","3.6","3.7","3.2","3.6","3.5","3.4","3.6","3.5","3.5","3.7","3.3","3.4","2.8","3.3","3.3","3.5","3.5","3.4","3.3","3.3","3.3","3.6","3.5","3.3","3.5","3.4"
"16","Korea","0.6","0.6","0.5","0.7","0.6","0.6","0.4","0.5","0.5","0.4","0.6","0.4","0.5","0.4","0.6","0.6","0.7","0.4","0.5","1.4","1","0.9","0.9","0.7","0.8","0.7","0.7","0.9","0.9","0.9","1","0.9","1.1","1.1","1.2","1.3","1.4"
"17","Luxembourg",NULL,"0.2",NULL,"0.2","0.3",NULL,"0.8","0.7","0.8","0.8","1","1","1.1","1","1","1","1","1.3","1.2","0.9","1.1","1.4","1.3","1.4","1.6","1.3","1.6","1.7","1.6","1.5","1.7","1.4","1.6","1.7","1.9","1.9","2.8"
"18","Mexico","16.8","15.4","14.7","14.6","13.6","13.1","12.5","11.3","11.1","9.6","9.6","9.4","9.9","10","10","11.4","11.7","11.7","11.5","11.4","11.2","11.5","11.7","10.6","11.7","11.6","10.9","10.6","10.7","10.8","10.3","9.6","9.6","9.8","9.7","9.5","9.3"
"19","Netherlands",NULL,NULL,NULL,NULL,"0.3","0.3","0.3","0.4","0.4","0.4","0.3","0.1","0.1",NULL,"0.1","0.2","0.2","0.5","0.6","1.5","1.4","1.5","1.6","1.6","1.7","1.9","2.2","2.3","2.4","2.5","2.6","2.8","2.7","3","3.6","3.8","3.9"
"20","New Zealand","32","30","28.7","30.5","34.2","30","28.2","30.9","34.3","35.3","35.5","32.1","33","31.7","28.6","30.3","30.7","30.5","32.6","35.8","35.5","33","34.8","34.1","33.8","31.2","29.6","32","32.2","29.8","27.8","29.7","29.7","31.6","32.1","31.7","32.6"
"21","Norway","40.9","42.2","44","46.3","45.5","47","40.6","42","45.1","42.4","47.7","48.9","53.5","50.9","48.1","43.7","46.4","50.7","52.8","54.5","48.2","49.9","48.1","46.7","49.4","44.3","44.3","44.7","45.5","52.5","45","50.9","38.8","38.2","46.1","40.1","48.3"
"22","Poland","1.6","1.8","1.5","1.5","1.5","1.3","1.4","1.2","1","1.1","1.4","1.2","1.3","1.6","1.6","2.2","1.9","1.9","2","2.3","2.2","2.3","4.6","4.9","4.8","4.4","4.3","4.6","4.5","4.8","5.1","5.2","5.1","5.3","5.4","5.7","5.7"
"23","Portugal","19.6","19.6","18.4","18","15.5","12.7","19","18.9","17.9","14.1","11.8","12.4","13.7","14.9","16.8","14.4","14.8","16.3","15.2","19.6","19.4","15.8","17.9","18.8","16.5","18.9","17.8","16.3","13.7","15.6","16.5","14.1","17.3","15.1","13.6","17.6","18.3"
"24","Slovak Republic","2.4","2.3","1.9","2.2","2","2","2.1","2","1.7","1.9","1.7","1.6","1.6","1.3","1.5","1.4","1.5","1.4","1.4","1.5","1.4","1.6","3.9","4.7","4","3.9","3.9","4","4.4","4.6","4.4","4.2","3.6","4.2","4.6","4.7","5.7"
"25","Spain","6.5","6.8","4.8","4.7","3.9","3","5.7","5.4","6.1","4.2","3.2","3.9","3.9","4.5","4.4","3.8","3.8","4.4","6","6.9","6.6","5.4","6.2","6.3","5.7","7.3","6.5","6.3","5.4","5.8","6.7","5.5","7","6.5","6","6.6","7.1"
"26","Sweden","20.4","20.4","22.4","23","21.9","19.5","19.2","20.9","21.2","22.7","22.2","21.9","24.6","25.2","24.3","21.7","24.1","23.5","24.6","24.9","23","26.6","27.5","23.5","26","23.5","27.5","27.9","27.2","31.7","28.8","26","25.3","25.8","29.7","29.7","31.1"
"27","Switzerland","15.5","13.6","14","14.7","17.9","13.7","18.1","16.6","16.6","16.4","18.5","19.8","18.2","15.7","15.9","15.8","16.9","17.3","15.3","14.9","15.8","16.1","18","18.9","18","15.6","17.1","17","19.1","18.6","19.3","17.6","18","18.4","18.5","18","20.7"
"28","Turkey","31","29.8","27.6","27.4","27.6","26.8","25","26.1","28.7","27.7","27.9","27.4","25.6","25","23","21.8","21","22.9","20.1","18.3","18.5","18.6","18.7","18.5","17.5","16.8","15.9","16","15.2","13.2","13.3","13.5","12.9","13.3","12","11.2","9.6"
"29","United Kingdom","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.5","0.5","0.5","0.7","0.7","0.9","0.9","0.9","1","1","1","1.1","1.3","1.5","1.6","1.7","2","2.1","2.4"
"30","United States","3.7","3.7","3.6","3.9","4","4","3.7","4.1","4.3","4.6","4.7","5.2","5.5","5.7","5.5","5.7","5.6","5.2","5.3","5.2","5.4","5.6","5.3","5.2","5.4","5.5","5.2","5.1","5","4.8","4.3","4.3","4.6","4.6","4.8","5","5"
"31","EU27 total",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4.5","4.7","5","5.3","5.4","5.4","5.4","5.7","5.9","5.9","6.2","6.2","6.1","6.4","6.8","6.9","7.4","8.2"
"32","OECD total","4.8","4.8","4.6","4.9","5","4.8","4.7","4.9","5","5.2","5.5","5.8","6.1","6.2","6.1","6.1","6.1","6","5.9","6","6.2","6.3","6.3","6.2","6.3","6.3","6.2","6.2","6.2","6.2","5.9","5.9","6.1","6.2","6.3","6.6","6.9"
"33","Brazil","56.4","54.5","50.6","49.5","47.8","45.7","45.8","43.6","43.6","45.2","47.2","47.6","50.3","52.2","50.9","49.3","49.3","48.8","48.6","46.9","46.3","45.7","45.2","45.1","43.2","41.6","40.9","40.3","40.1","39","37.5","39.3","42","42.3","42.9","43.3","44.4"
"34","Chile","20.8","20.9","21.2","23.1","25.7","25.4","25.7","26.3","25.6","26.1","26","29.8","31.5","31.8","33.2","33.4","34.1","30.7","26.2","25","29.1","30.3","28.3","26.8","26.8","24.9","24.3","23.2","20.5","22.6","23.9","23.8","22.7","21.4","22.5","23","21.8"
"35","China","40","39.1","38.6","38.5","35.5","34.9","32.5","30.3","30.3","30.9","31.6","31.1","30.4","28.8","28.4","27.7","26.7","25.7","25.6","24.5","24.9","24.3","23.2","22.4","21.2","20.4","20.4","20.4","20.4","20.3","20.7","19.1","16.7","14.7","13.8","12.8","12.3"
"36","Estonia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","2.2","3.5","4.2","5.8","7.1","11.6","11.6","10.3","11.3","11.3","11.5","12.2","11.7","11.7","11.2","10.6","10.7"
