id,country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1,Australia,53.9,62.4,68,67.5,75,75.3,82.2,81.6,86.5,85.4,97.2,98.6,107.4,118.4,128.1,136.5,148.9,136.7,144.7,157.5,167,172.1,174.9,173.5,186.9,189.8,201,216.5,213.6,234.4,250.6,255.3,254.6,259.7,270.4,270,289.2
2,Austria,7.4,7.3,7.9,7.8,7.8,7.2,7.7,7.8,8,7.6,7.4,7.5,7.3,7.4,7.6,7.7,8.1,9.2,8.6,8.1,8.3,8.6,8.8,8.4,8.7,8.6,8.7,8.9,9.7,9.8,9.9,10.2,10,10.3,10,10.4,10.9
3,Belgium,6.8,6.6,6.5,6.2,8,8.7,9.1,8.3,7.6,8.1,8.2,9.1,11,12.1,14,14.7,14.5,13.4,13,13.1,13,12.7,12.1,11.6,11.9,12.4,13.4,13.1,13.9,13.7,13.3,13.5,13.7,13.7,13.9,13.8,14.4
4,Canada,155.8,176.8,198.2,191.9,187.6,182.1,189.9,191.1,210.1,207.4,200.7,202.7,207.2,228.7,241.2,239.7,252.7,272.8,274,273.8,285.2,294.1,315.8,338.4,348.9,358.4,365,365.6,364.6,372.6,377,384,386,397.6,401,410.5,413.2
5,Czech Republic,39.9,39.7,38.5,39.1,40.5,41.5,43.3,42,43.2,41.2,41.3,41.9,42.5,43.1,42.7,43.6,44.7,44.1,42.4,40.1,37.9,35.7,35.2,32.7,31.8,32.5,32.9,30.8,28.1,29.9,30.6,30.7,33.4,34.5,32.9,33.6,33.7
6,Denmark,0.3,0.4,0.4,0.4,0.5,0.6,0.9,0.9,1,1,1.6,2.6,3.1,3.5,5,6.5,8.2,8.3,9.5,10.1,11.9,12.9,13.9,15.1,15.6,17.7,20.2,20.4,23.8,27.7,27.1,28.6,28.5,31.1,31.3,29.6,27
7,Finland,5,4.9,4.9,5,4.4,4.2,5.1,5.3,6.4,6.9,9,10.1,10.2,10.5,10.4,11.3,10.7,11.2,11.6,12.1,11.2,12.1,11.8,13,13.2,13.6,15,13.6,15.4,15.1,15,16,15.9,15.7,16.5,18,15.9
8,France,47.6,46.9,44.2,42.3,43.6,41.1,44.5,45.7,47.8,52.6,64,63.6,73,85.1,93.3,99.8,103.8,104.5,109.3,112.5,119.5,120.9,127.2,124.5,128.5,132.4,129.5,126.5,128.4,132.2,133,135,136.8,138,137.8,137.7,135.4
9,Germany,175.2,171.9,171.7,173.1,172.2,174.1,173.3,174.9,182.2,185.6,192.3,193.1,189.7,197.7,209.3,200.1,199.5,202.3,200.5,186.2,168.3,163.2,152,145.1,145,143.3,143.6,136,137.2,135.3,134.7,134.5,135.9,138,135.3,136.4,137
10,Greece,2.1,2.2,2.3,2.4,2.9,3.5,3.6,3.5,3.8,3.7,4.4,5.5,5.9,6.4,6.9,7.2,8.1,8.3,8.9,9.2,9,9,9,9.2,9.3,9.1,9.6,9.8,9.5,10,10,10.2,9.9,10.3,10.3,10.1,12.1
11,Hungary,11.8,11.8,12.7,12.7,12.5,13.5,14.1,15.4,14.7,14.5,14.4,14.9,15.1,15.6,16.4,16.1,16.8,16.4,16.1,14.6,14.3,13.9,13.7,13.3,13.9,13.6,13.3,12.5,11.9,11.6,11.3,11.2,10.4,10.2,10.4,10.3,10.2
12,Iceland,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,2.2,2.3,2.5,2.5,2.5,2.5,2.6,3.3,4
13,Ireland,1.4,1.4,1.1,1.3,1.7,1.4,1.3,1.1,1.5,1.9,2.5,3,3.2,3.6,2.8,2.6,3,2.9,3.8,3.5,3.3,3.1,3.5,3.6,4.1,3.5,2.9,2.5,2.5,2.2,1.8,1.5,1.8,1.9,1.6,1.6,1.4
14,Italy,19.5,20.1,20.4,21.2,21,21.7,20.9,20.9,20.6,19.9,20.8,22.6,21.5,22.6,22.8,24.8,24.2,25.5,25.2,25.3,26.1,27.3,28.3,29.5,29.4,30.3,30.4,30.3,29.2,28.2,26.9,27.5,27.8,28.4,27.8,27.4,26.4
15,Japan,35.8,32.6,29.5,30.6,29.9,33,32,36.2,39.4,43.3,44.6,51.8,54.9,59,66.8,68.6,71.5,69.6,70.4,75.1,79.2,80.2,87.6,90.4,98.5,101.7,106.2,109.1,104.5,105.8,104.7,96.9,84,95,100.4,101.3,90.5
16,Korea,6.4,6.2,6.8,7.6,8.4,7.8,8.2,8.7,9,9.3,9.7,10,11.3,12.7,14.6,18.4,21.4,21.4,21.9,22.6,22.2,20.4,20.1,19.3,21.1,22.5,23.7,27.1,30.6,32.6,33.2,35,38.1,38.4,43,43.8,42.5
17,Luxembourg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1,NULL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
18,Mexico,43.4,45.1,47.3,55.2,63,67.9,79.2,95,113.6,147,171.2,195.6,193.2,195.2,192.8,182.1,190.9,190.1,190.5,193.4,200.9,200.3,203.3,203.7,201,212,222,227.3,223,225.9,230.2,230.4,242.8,253.8,259.8,256.1,251.1
