"id","country","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"1","Australia","51.6","53.2","57.1","58.9","60.4","61.8","66.3","66.5","68","69.6","70.1","73.1","70.1","72.3","72.8","74","77.5","78.9","84","86.2","85.2","86.7","91.2","91.3","92.6","99","101.3","104","106.2","108.9","107.2","110.7","111.6","112.1","120.8","122.6","124.1"
"2","Austria","18.8","19.8","21.5","20.7","20.1","21.7","21.2","21.9","23.7","23.2","21.9","21.4","21.5","22.3","23.1","23.2","24","24.3","23.9","24.8","26.4","25.3","25.6","25.5","26.7","28.4","28.2","28.7","28.7","28.5","30.2","31","32.7","33","33.7","34.2","33.2"
"3","Belgium","39.7","43.4","46","45.1","42.3","45.4","45.1","47.5","49","46.8","43.5","41.5","41","42.7","44.1","45.7","46.7","47.2","47.7","48.2","50.5","51.1","49.9","52.8","53.7","56.7","56.8","57.7","58.2","58.5","58.3","56.4","59.2","58.9","58.7","58.1","57"
"4","Canada","141.3","152.5","159.3","161.7","165.9","171","176.3","181.2","190.3","192.6","187.8","180.4","179.5","188.7","193","196.3","202.9","211.3","217.2","208.7","208.2","213.2","220.3","228.1","230.9","236.2","238.8","237.3","244.5","251.2","248.1","248.7","261.6","268.2","271.7","269.2","269.4"
"5","Czech Republic","45.4","45.5","45.2","41.9","43.7","44.9","48","45.3","48.4","46.9","47","47.8","47.9","48.9","49.2","50","51.5","50.5","49","48.8","44.1","43","41.7","40.3","40.9","42.2","42.5","41","38.3","40.3","41.3","41.8","44.4","45.5","44.9","45.9","45.8"
"6","Denmark","18.5","19.3","19","17.6","17.5","19","19.5","19.9","20.6","19.1","17.3","17.5","16.5","17.1","19.3","19.6","19.6","18.7","17.5","17.3","19.3","18.4","18.9","19.6","19.4","21.9","20.3","20","19.2","18.6","19.1","19","20.1","19.4","18.8","20.1","19.6"
"7","Finland","18.2","19.4","21","20.6","19.7","21.1","21.4","22.2","23.6","24.6","23.7","23.2","23.4","24","25.8","27","29.4","27.7","28.6","28.4","28.8","27.1","28.5","30.4","28.9","31.1","32.3","32.6","32.5","32.1","32.8","34.5","36.6","36.8","34","37","36.5"
"8","France","158.6","167.4","180.1","174.4","165","176.1","172.8","184.3","192","191.8","187.3","182.8","187.5","194.3","203.8","207","212.1","211.2","219.9","224.5","237.6","233.2","237.3","228.2","237.4","250.6","243","250.8","250.6","253.2","261.2","261.9","266.7","270.7","271.4","267.7","263.7"
"9","Germany","305","316.1","334.7","328.4","313.5","338","338.9","350.2","366","357.2","345","333.5","333.5","346.2","357.2","356.7","359.3","361.8","355.6","351.4","344.6","338.2","335","333.4","337.1","348.4","345.4","343.3","335.6","337.3","347.4","339.3","342.1","343.5","338.7","341.2","331.3"
"10","Greece","8.7","10.1","11.8","11.3","11.7","12.7","13.7","14.4","15.3","15","14.6","15","15.7","16.4","17.6","16.7","17.9","19.1","21.1","21.4","21.6","22.1","21.9","22.5","22.7","23.4","24.3","25.6","25.7","27.1","28","28.3","29.1","29.7","30.2","30.2","32.2"
"11","Hungary","19","19.6","21.3","22","22.9","24.5","25.9","28.6","28.2","28.4","28.2","28.2","27.7","28.8","29.8","29.6","30.7","30.4","30.1","28.7","27.3","25.1","25.7","24.9","25.9","26.5","26","25.7","25.5","25","25.6","25.6","26.1","26.2","27.6","27.3","26.7"
"12","Iceland","0.9","0.9","1.1","1.1","1.1","1.1","1.2","1.3","1.5","1.5","1.7","1.7","1.7","1.8","1.8","1.8","1.9","2","2","2.1","2.1","2","2.2","2.2","2.3","2.4","2.4","2.6","3","3.1","3.2","3.3","3.3","3.4","3.5","4.2","4.9"
"13","Ireland","6.7","6.7","6.9","7.1","6.6","6.8","7.2","7.3","8.6","8.2","8.3","8.2","8.2","8.3","8.6","8.9","9.2","9.1","9.3","10","10","10","10.1","10.6","10.4","11.3","12.1","12.8","13.1","13.6","14.5","14.7","14.2","14.3","14.4","14.7","15.1"
