1,Albania,61000000,67000000,72000000,73000000,94000000,118000000,141000000,148000000,147000000,161000000,161000000,161000000,160000000,160000000,161000000,162000000,162000000,173000000,219000000,1687000000,1278000000,1411000000,1655000000,1843000000,2283000000,2887000000,2913000000,3189000000,2213000000,2003000000,1830000000,1237000000,2023000000,1968000000,2017000000,2658000000,1972000000
2,Algeria,239000000,253000000,311000000,323000000,390000000,471000000,521000000,431000000,557000000,777000000,954000000,1065000000,1390000000,1649000000,1846000000,1854000000,1845000000,2135000000,2200000000,2313000000,2624000000,2228000000,3029000000,3214000000,3340000000,3815000000,4373000000,4581000000,4730000000,4105000000,4337000000,4346000000,4209000000,4976000000,4475000000,6295000000,6647000000
3,Angola,186000000,210000000,246000000,307000000,326000000,146000000,146000000,146000000,158000000,169000000,169000000,180000000,196000000,168000000,202000000,202000000,203000000,204000000,205000000,211000000,267000000,270000000,270000000,271000000,273000000,292000000,115000000,192000000,194000000,211000000,238000000,258000000,288000000,325000000,382000000,429000000,549000000
4,Argentina,2400000000,2488000000,2600000000,2744000000,3244000000,3233000000,3651000000,3919000000,4244000000,5035000000,4918000000,5128000000,6151000000,6279000000,6314000000,8176000000,8199000000,7327000000,8629000000,9292000000,10153000000,11397000000,12479000000,11560000000,11863000000,12212000000,11758000000,11223000000,11932000000,13188000000,12847000000,14501000000,14049000000,15445000000,15956000000,17379000000,17957000000
5,Armenia,,,,,,,,,,,,,,,,,,,,1649000000,1660000000,2530000000,2390000000,2241000000,2195000000,2349000000,1244000000,1764000000,1437000000,1512000000,1502000000,1414000000,1240000000,956000000,1001000000,779000000,775000000
6,Australia,4767000000,4717000000,8198000000,7181000000,7569000000,8047000000,8485000000,8603000000,9072000000,9166000000,11194000000,8380000000,8457000000,8170000000,10536000000,9303000000,10273000000,9999000000,11102000000,10783000000,10371000000,10626000000,10658000000,10866000000,11507000000,11522000000,11633000000,13322000000,15453000000,15181000000,15618000000,14767000000,15118000000,14109000000,15752000000,17101000000,17913000000
7,Austria,2054000000,2186000000,2312000000,2280000000,2360000000,2363000000,2427000000,2523000000,2524000000,2628000000,2717000000,2647000000,2530000000,2612000000,2754000000,2811000000,2857000000,2824000000,2769000000,2965000000,3030000000,2914000000,3171000000,3059000000,3328000000,3246000000,3185000000,3340000000,3322000000,3194000000,3685000000,3166000000,3291000000,3422000000,3433000000,3347000000,3366000000
8,Azerbaijan,,,,,,,,,,,,,,,,,,,,3100000000,2936000000,2786000000,3800000000,2305000000,2776000000,2721000000,3108000000,2153000000,2788000000,2770000000,2560000000,3814000000,3459000000,2762000000,2217000000,3171000000,3432000000
9,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,94000000,208000000,5000000,288000000,208000000,201000000,242000000,157000000,196000000,201000000,164000000,62000000,216000000,85000000,460000000,393000000,557000000,576000000,543000000,303000000,397000000,411000000,431000000,158000000
10,Bangladesh,320000000,320000000,362000000,371000000,416000000,508000000,567000000,568000000,741000000,831000000,795000000,868000000,896000000,1099000000,1487000000,1265000000,1818000000,2367000000,2021000000,2596000000,2946000000,2371000000,1792000000,1771000000,1796000000,1834000000,1795000000,1986000000,2286000000,2417000000,2413000000,2372000000,2271000000,2038000000,1966000000,1778000000,1602000000
